Country,Year,Breast,Cervix,Colon,Leukaemia,Liver,Lung,Ovary,Prostate,Rectum,Stomach
Algeria,1999,17.1,23.4,10.8,21.2,,6,13.9,44,7.9,5.1
Algeria,2004,29.5,59.5,48.6,32.3,17.9,8.2,42.9,55.5,41.2,17.6
Algeria,2009,59.8,55.1,57.2,13.6,17.5,14.8,41.8,58.5,45.5,10.3
Argentina,2004,75.5,52,46,,,20.8,26.8,85,44.4,19.2
Argentina,2009,76.6,50.6,40.6,90,24.2,11.9,29.7,86.6,31,16
Argentina,1999,,45.9,,,,,,,,
Australia,1999,84.6,69.9,60.3,47.5,13.2,13.7,36.1,83.7,59.9,25.9
Australia,2004,86.4,68.4,63.1,51,14.3,14.8,37,86.8,63.8,27.8
Australia,2009,86.2,67.1,64.2,51.1,14.7,15,37.5,88.5,64.2,27.9
Austria,1999,78.7,62.3,57.1,39.8,8.7,14.1,42.2,84.7,54.8,29.5
Austria,2004,81.4,65.4,60.2,43.3,11,15.6,40.4,89.8,59.8,30
Austria,2009,82.9,66,63,45.8,12.9,17.9,41.6,90.5,62.1,33.1
Belgium,2004,84.8,66,64,57.5,19.9,15.3,42.5,92,62.3,27.9
Belgium,2009,85.4,65.2,64.6,59.4,19.6,16.6,43,92.6,64.7,33.4
Brazil,1999,78.2,60.2,55.9,34.3,15.9,18.6,35.1,83.4,54.7,33.1
Brazil,2004,86.9,67.5,58.1,30.1,17.9,13.7,41.3,93,52.8,28.2
Brazil,2009,87.4,61.1,58.2,20.3,11.6,18,31.8,96.1,55.9,24.9
Bulgaria,1999,68,46.7,39.5,21.2,4.7,5.9,27.7,45.2,31,11.2
Bulgaria,2004,71.2,49.4,43.8,24.1,3.8,5.7,32.9,49.7,36.9,11.1
Bulgaria,2009,73.9,53,47,25,5,6.3,35.4,53.4,40.8,12.9
Canada,1999,83.7,66.2,56.8,46.8,12.1,15.1,36.5,87.5,56.5,21.1
Canada,2004,85.3,67.5,60.1,52.4,15.4,15.6,35.5,91,60.5,23.1
Canada,2009,85.8,66.8,62.8,55.2,17.7,17.3,37.5,91.7,62.8,24.8
Chile,1999,73.3,41.9,39,,,,,69.7,,13.4
Chile,2004,76.8,55.5,36.4,10.3,4.5,6.2,29.6,81.2,41.7,16.4
Chile,2009,77.1,50.9,43.3,16.1,7.9,6.3,32.2,88.7,37.7,18
China,1999,53.8,40.1,33.5,4.7,2.4,7.5,41,62.9,28.9,15.3
China,2004,78,56.1,51.2,18.2,10.9,18.1,42.6,55.8,48,29
China,2009,80.9,59.9,54.6,21.2,12.5,17.5,38.9,63.8,53.2,31.1
Colombia,1999,65.7,50.6,29.2,,3.7,6.1,27.3,67.1,,15.4
Colombia,2004,70.4,56.8,42.3,19.6,4.3,9,33,80.5,,17.7
Colombia,2009,76.1,59.3,43.3,20.1,5.3,9,31.1,78.6,,16.6
Croatia,1999,77.5,68.1,50.1,38.6,13.2,16.5,37.5,61.4,44.6,24
Croatia,2004,75.1,65.6,49.8,37.2,11.6,15.2,39.1,67.7,46.5,21.6
Croatia,2009,77.9,65.3,52,37.6,12.2,13.6,36.8,75.1,48.2,21.3
Cuba,1999,72.8,66.4,45.8,,,21.8,35.4,54.5,,26.2
Cuba,2004,73.3,61.9,44.1,,,14.1,34.7,47.6,,23.8
Cuba,2009,77.7,64,46.4,59.6,,18.2,39.8,56.1,,26.2
Cyprus,2004,88.7,,68.4,,,18.4,,,,42.9
Cyprus,2009,90.6,64.5,58.1,61.3,9.8,15.4,43.2,93.1,70.2,26.3
Czechia,1999,72.7,61.3,45.3,42.8,4.7,8.5,32.6,64.6,38.6,16.6
Czechia,2004,77.8,62.2,51.4,46.8,5.5,10.9,34.5,75.6,46.9,21.8
Czechia,2009,80,64.5,54.9,46.1,7.2,12.3,36.6,83.1,50.3,23.2
Denmark,1999,75.8,63.1,48.2,45.4,2.6,8,31.2,46.4,47.6,13.8
Denmark,2004,80.7,63.2,52.1,51.2,4.4,9.6,33.2,64,53.8,15.3
Denmark,2009,82,64.8,55.9,56.8,6.1,11.3,37.3,77.2,58.4,17.9
Ecuador,1999,68.9,59.7,61.5,29.5,16.2,34.5,35.2,76.3,45.5,40.1
Ecuador,2004,79.6,58.5,69.9,36,15.3,37.8,44.7,90.9,48.3,28.5
Ecuador,2009,83.2,61.7,68.2,33.5,17.7,28.7,47,92.4,52.6,31.9
Estonia,1999,62.3,58.2,49.7,37.4,5.4,8.2,28.2,55.9,37.7,20
Estonia,2004,70.4,62.9,48.8,43.5,5.6,10.9,31.3,67.1,46.5,22.3
Estonia,2009,72.4,66.7,51.7,38.4,8.7,11.9,38.7,73.2,48.9,22.8
Finland,1999,82.8,66.2,58.7,45.1,6.9,11,39.1,79.3,54.6,27
Finland,2004,86.5,68.1,61.2,47.6,7.2,11.8,40.9,90,59.8,25.9
Finland,2009,86.8,65.3,62.9,50.7,7.9,12.3,44.9,93.2,62.9,25.2
France,1999,83.7,66.3,57.2,54.6,11.1,12.8,33.5,79.4,54.4,25.7
France,2004,86.5,60.5,59.7,58.9,13.5,13.9,39.8,89.4,57,27.3
France,2009,86.9,58.9,59.8,59.2,14.4,13.6,39,90.5,56.8,27.7
Germany,1999,81.2,64.7,48.7,42.9,6.5,11.6,37.7,77.1,51.9,22.8
Germany,2004,84.1,64.8,62.1,50.1,10.5,15.1,39.9,89.3,60.2,30
