,1950,,,1951,,,1952,,,1953,,,1954,,,1955,,,1956,,,1957,,,1958,,,1959,,,1960,,,1961,,,1962,,,1963,,,1964,,,1965,,,1966,,,1967,,,1968,,,1969,,,1970,,,1971,,,1972,,,1973,,,1974,,,1975,,,1976,,,1977,,,1978,,,1979,,,1980,,,1981,,,1982,,,1983,,,1984,,,1985,,,1986,,,1987,,,1988,,,1989,,,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,
Country,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.88,34.95,48.83,,,,,,,,,,12.79,34.62,47.41,11.58,36.34,47.92,14.87,38.54,53.41,13.67,39.17,52.84,13.93,39.65,53.58,14.75,40.06,54.81,13.38,39.06,52.44,13.22,36.96,50.18,13.11,39.99,53.1,13.12,39.53,52.65,11.36,36.81,48.17,12.62,38.4,51.02,12.18,37.08,49.26,11.83,38.17,50,12.22,37.46,49.68,13,37.11,50.11,13.49,38.47,51.96,13.09,37.18,50.27,13.39,37.67,51.06,13.31,37.08,50.39,13.6,38.33,51.93,13.71,36.39,50.1,13.37,36.57,49.94,13.13,36.59,49.72,14.24,35.98,50.22,13.53,33.47,47,12.12,34.66,46.78,12.75,34.71,47.46,13.31,35.52,48.83,13.94,34.36,48.3,13.74,35.08,48.82,13.72,33.96,47.68,14.65,33.71,48.36,14.62,33.43,48.05,15.64,35.8,51.44
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,24.8,30.1
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,80.43,89.03,9.16,77.85,87.01,8.72,78.65,87.37,9.29,75.84,85.13,9.33,77.83,87.16,10.49,75.43,85.92,10.71,75.67,86.38,10.12,73.28,83.4,11.23,68.41,79.64,11.66,70.02,81.68,11.66,66.19,77.85,11.31,65.6,76.91,11.61,61.26,72.87,12.55,61.74,74.29,12.53,61.98,74.51,13.03,58.58,71.61,12.32,57.02,69.34
Czechoslovakia,,,,,,,,,,4.91,28.43,33.34,5.31,31.58,36.89,5.68,34.97,40.65,5.39,36.65,42.04,5.5,38.54,44.04,5.31,41.06,46.37,5.74,44.11,49.85,5.1,47.27,52.37,5.43,50.48,55.91,5.53,52.08,57.61,5.52,55.23,60.75,6.11,56.64,62.75,5.77,57.88,63.65,5.66,60.53,66.19,5.77,62.11,67.88,5.45,59.99,65.44,6.24,61.08,67.32,5.67,61.8,67.47,5.35,63.54,68.89,5.49,62.23,67.72,5.36,63.52,68.88,5.41,65.52,70.93,5.58,66.35,71.93,5.91,65.76,71.67,5.99,67.65,73.64,6.96,68.63,75.59,6.6,67.55,74.15,6.67,70.23,76.9,6.75,69.6,76.35,6.65,69.95,76.6,7.41,71.64,79.05,7.58,72.73,80.31,7.62,72.65,80.27,7.98,74.95,82.93,8.34,73.76,82.1,7.95,74.68,82.63,8.53,73.58,82.11,8.49,74.79,83.28,9.44,72.66,82.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,4.4,5
Denmark,,,,3.64,15.82,19.46,4.25,18.34,22.59,4.38,18.08,22.46,4.1,18.64,22.74,4.61,21.56,26.17,3.75,23.68,27.43,5.21,24.69,29.9,4.45,23.84,28.29,4.72,28.82,33.54,5.78,29.27,35.05,5.37,32.26,37.63,5.96,31.2,37.16,6.09,35,41.09,6.41,35.72,42.13,6.94,38.26,45.2,6.59,37.57,44.16,8.38,39.6,47.98,7.23,40.71,47.94,8.26,41.74,50,8.75,40.76,49.51,9.26,44.27,53.53,10.24,48.78,59.02,9.22,45.12,54.34,9.92,47.2,57.12,10.83,46.36,57.19,13.22,46.9,60.12,11.72,48.11,59.83,13.13,52.35,65.48,14.64,52.93,67.57,14.37,52.84,67.21,16.34,54.48,70.82,16.03,54.51,70.54,19.92,54.66,74.58,21.09,54.9,75.99,19.84,55.83,75.67,19.87,54.55,74.42,22.93,54.03,76.96,24.08,52.91,76.99,21.72,53.82,75.54,23.84,52.46,76.3,25.8,48.33,74.13,24.47,49.02,73.49,25.38,51.92,77.3,28.3,49.18,77.48,28.13,49.72,77.85,27.61,48.44,76.05,29.39,46.44,75.83,27.18,43.19,70.37,28.17,43.81,71.98,27.35,44.2,71.55,28.05,42.15,70.2,27.8,40.1,67.9
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.5,5.6
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,3.51,4.77,1.57,2.77,4.34,2.12,3.9,6.02,1.97,4.46,6.43,1.64,3.11,4.75,0.93,3.7,4.63,3.02,4.13,7.15,1.47,4.56,6.03,1.57,3.57,5.14,1.75,3.65,5.4,1.39,3.52,4.91,1.57,3.9,5.47,2.82,4.2,7.02,2.21,3.96,6.17,1.85,3.84,5.69,2.27,4.8,7.07,2.07,5.81,7.88,2.76,6.06,8.82,3.38,6.69,10.07,2.97,6.56,9.53,1.92,6.47,8.39,2.77,5.67,8.44,3.37,6.21,9.58,3.07,6.27,9.34,3.65,6.17,9.82,2.56,6.42,8.98,3.1,5.25,8.35,2.84,5.68,8.52,,,,3.07,5.81,8.88,2.98,5.21,8.19,3.3,6.65,9.95,4.34,6.72,11.06,4.52,7.38,11.9,4.5,8.29,12.79,3.19,7.05,10.24,4.62,7.19,11.81,4.0525,6.985,11.0375
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,2.64,4.48,,,,1.94,3.49,5.43,2.35,2.83,5.18,,,,,,,,,,2.01,2.57,4.58,2.35,4.13,6.48,1.61,3.55,5.16,1.75,3.92,5.67,1.77,3.86,5.63,1.55,3.16,4.71,1.58,3.68,5.26,1.87,3.36,5.23,,,,1.5,3.96,5.46,1.43,4.15,5.58,2.11,5.48,7.59,2.08,5.2,7.28,2.51,5.37,7.88,2.75,5.98,8.73,2.06,6.35,8.41,2.76,6.23,8.99,2.37,7.39,9.76,2.8,6.38,9.18,2.55,6.73,9.28,2.68,6.52,9.2,2.96,6.52,9.48,2.66,7.31,9.97,2.92,7.25,10.17,2.73,7.47,10.2,3.15,7.43,10.58,3.26,6.28,9.54,4.48,7.14,11.62,3.79,6.57,10.36,3.89,6.98,10.87,3.69,7.05,10.74,3.83,6.1,9.93,3.3,6.53,9.83,3.8,6.44,10.24,3.52,7.18,10.7
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,8.4,11.2
El Salvador,0.68,0.42,1.1,0.45,1.82,2.27,0.23,0.76,0.99,0.93,1.25,2.18,1.22,1.36,2.58,0.65,0.87,1.52,0.54,2.22,2.76,0.61,1.74,2.35,0.99,1.65,2.64,0.84,1.82,2.66,0.77,1.44,2.21,2.06,2.57,4.63,1.11,0.39,1.5,0.82,1.31,2.13,0.91,1.58,2.49,0.83,1.17,2,1.03,0.83,1.86,2.12,1.55,3.67,0.85,1.3,2.15,1.5,1.34,2.84,1.2,1.48,2.68,0.92,1.01,1.93,1.19,1.65,2.84,1.01,2.63,3.64,1.46,2.63,4.09,,,,,,,,,,,,,,,,,,,1.81,2.06,3.87,1.46,2.01,3.47,1.4,2.19,3.59,1.17,2,3.17,,,,,,,,,,,,,,,,1.74,3.75,5.49,2.09,2.6,4.69,1.74,3,4.74,2.17,3.78,5.95,,,,1.77,2.43,4.2,3.73,4.68,8.41,2.96,4.09,7.05,2.54,3.95,6.49,2.85,3.4,6.25,3.72,4.74,8.46,3.84,5.54,9.38,3.19,5.95,9.14
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,4.6,5.3
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.5,5.6
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.44,60.89,68.33,5.87,63.58,69.45,,,,,,,5.88,59.34,65.22,6.4,60.51,66.91,7.19,61.73,68.92,7.69,69.65,77.34,8.28,67.82,76.1,7.17,65.05,72.22,7.99,78.82,86.81,7.49,70.7,78.19,7.58,67.6,75.18,7.04,66.93,73.97,6.86,70.93,77.79,7.3,63.57,70.87,8.84,65.87,74.71,7.1,65.85,72.95,7.33,59.57,66.9,7.1,62.2,69.3,7.82,59.68,67.5,7.65,60.51,68.16
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,9.3,10.7
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,2.6,5.7
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.4,2
Finland,,,,,,,4.81,39.72,44.53,3.63,48.49,52.12,4.2,43.84,48.04,4.55,48.1,52.65,3.29,45.12,48.41,4.4,52.52,56.92,4.01,56.49,60.5,4.32,57.09,61.41,2.75,58.56,61.31,3.79,58.78,62.57,3.63,61.43,65.06,4.24,61.99,66.23,3.96,61.91,65.87,3.87,63.55,67.42,3.9,62.31,66.21,4.19,64.07,68.26,4.18,67.02,71.2,3.98,69.76,73.74,3.86,67.12,70.98,4.31,70.21,74.52,4.81,64.51,69.32,3.53,65.83,69.36,4.19,65.21,69.4,4.28,60.79,65.07,5.27,68.74,74.01,5.38,66.17,71.55,5.28,65.94,71.22,5.27,67.23,72.5,6.18,64.89,71.07,5.78,65.29,71.07,5.7,58.56,64.26,5.42,61.49,66.91,6.18,58.15,64.33,6.8,58.08,64.88,6.25,53.13,59.38,6.58,53.53,60.11,6.31,50.84,57.15,6.48,47.61,54.09,6.81,48.56,55.37,6.86,44.45,51.31,7.38,47.25,54.63,6.61,44.38,50.99,6.85,41.07,47.92,7.02,41.3,48.32,7.05,39.4,46.45,7.19,37.67,44.86,8.08,37.42,45.5,6.94,34.49,41.43,7.6,33.48,41.08,8.1,32.83,40.93,8.07,31.41,39.48
France,3.09,10.66,13.75,,,,3.32,13.53,16.85,3.27,14.37,17.64,3.35,15.97,19.32,3.35,16.39,19.74,3.32,17.27,20.59,3.51,19.44,22.95,3.34,19.42,22.76,3.41,20.71,24.12,3.37,21.84,25.21,3.42,23.16,26.58,3.53,24,27.53,3.81,25.74,29.55,3.7,26.42,30.12,3.67,27.64,31.31,3.79,29.03,32.82,3.93,29.53,33.46,3.54,30.14,33.68,3.46,31.15,34.61,3.34,30.96,34.3,3.46,32.46,35.92,3.49,34.16,37.65,3.5,34.66,38.16,3.58,36.03,39.61,3.57,37.1,40.67,3.6,39.3,42.9,3.62,39.95,43.57,3.79,41.95,45.74,3.68,42.27,45.95,3.82,43.36,47.18,4.04,44.26,48.3,4.06,44.21,48.27,4.26,44.1,48.36,4.13,44.97,49.1,4.36,45.79,50.15,4.48,46.65,51.13,4.99,47.43,52.42,5.04,47.98,53.02,5.18,48.06,53.24,5.15,47.57,52.72,5.38,48.38,53.76,5.4,48.23,53.63,5.66,47.87,53.53,5.85,46.49,52.34,6.26,46.83,53.09,6.46,46.52,52.98,6.44,46.02,52.46,7.13,46.43,53.56,7.44,45.64,53.08,7.25,44.61,51.86,7.54,43.97,51.51,8.22,43.64,51.86
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,16,16.9
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,9.5,11.2
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,4.9,5.5
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,31.6,37.7
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,46.91,51.61,4.87,47.41,52.28,5.01,48.31,53.32,5.16,48.66,53.82,5.1,49.08,54.18,5.31,49.96,55.27,,,,5.57,49.66,55.23,5.81,49.61,55.42,6.03,49.67,55.7,6.4,50.06,56.46,6.47,49.59,56.06,6.46,50.04,56.5,6.88,49.02,55.9,7.23,48.81,56.04,7.25,49.24,56.49,7.62,48.72,56.34,7.86,48.35,56.21,8.35,48.44,56.79,8.46,47.86,56.32,8.85,47.9,56.75,9.16,46.33,55.49,9.19,46.61,55.8,9.36,44.85,54.21,9.81,44,53.81,10.14,43.21,53.35,10.2,41.65,51.85,10.72,42.07,52.79,10.78,40.15,50.93,11.13,39.52,50.65
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,2.4,3
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.74,24.32,29.06,4.6,28.58,33.18,5.93,28.73,34.66,5.06,29.83,34.89,6.38,31.68,38.06,6.1,30.86,36.96,6.08,32.57,38.65,5.48,32.02,37.5,5.91,32.21,38.12,6.04,31.19,37.23,5,31.84,36.84,5.82,33.34,39.16,6.15,38.56,44.71,6.07,40.57,46.64,6.73,38.98,45.71,6.08,42.2,48.28,7.01,43,50.01,6.89,44.71,51.6,6.85,45.37,52.22,6.04,43.11,49.15,6.02,44.73,50.75,6.4,45.99,52.39,6.23,47.35,53.58,6.33,47.44,53.77,7.16,49.5,56.66,6.48,48.81,55.29,6.29,48.38,54.67,6.99,48.46,55.45,6.68,50.31,56.99,7.34,49.38,56.72,7.1,49.97,57.07,6.97,49.1,56.07,6.75,50.62,57.37,6.98,50.75,57.73,7.18,49.69,56.87,7.1,49.93,57.03,6.93,49.21,56.14,7.28,48.41,55.69,6.73,48.9,55.63,7.4,48.76,56.16,7.1,48.37,55.47,7.27,46.22,53.49
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,40.5,54.7
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,1.53,2.67,1.13,2.69,3.82,1.63,2.34,3.97,0.95,1.71,2.66,1.29,1.68,2.97,1.51,2.52,4.03,0.6,2.76,3.36,0.67,1.24,1.91,1.52,1.53,3.05,,,,,,,1.6,2.66,4.26,1.88,2.28,4.16,1.6,2.42,4.02,1.34,2.11,3.45,1.45,1.76,3.21,,0.49,0.49,1.16,2.53,3.69,1.03,2.3,3.33,,,,,,,2.09,0.84,2.93,,,,2.15,2.68,4.83,2.73,3.06,5.79,2.17,2.87,5.04,2.73,3.47,6.2,2.42,3.81,6.23,2.27,4.16,6.43,2.62,3.43,6.05,3.09,2.98,6.07,3.8,4.84,8.64,3.69,4.04,7.73,2.48,3.28,5.76,3.68,6.33,10.01,3.21,5.06,8.27,4.14,5.76,9.9,3.66,6.18,9.84,4.09,5.72,9.81,4.04,5.7,9.74
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,7.5,9
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,2.4,3
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,7.2,12
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,10.1,10.5
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,14.7,20.6
Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.76,18.92,30.68,10.36,22.25,32.61,11.63,22.9,34.53,12.93,25.48,38.41,13.87,28.51,42.38,15.47,30.85,46.32,17.16,31.16,48.32,18.04,32.82,50.86,17.3,33.82,51.12,19.44,40.35,59.79,18.81,37.85,56.66,20.98,40.12,61.1,19.73,41.79,61.52,20.93,43.87,64.8,20.06,44.07,64.13,22.59,46.51,69.1,24.75,48.53,73.28,23.52,53.35,76.87,23.92,54.54,78.46,23.94,54.87,78.81,22.19,60.4,82.59,22.84,53.45,76.29,25.09,53.86,78.95,21.46,55.48,76.94,23.94,54.56,78.5,24.03,54.46,78.49,25.22,57.17,82.39,24.71,57.4,82.11,23.57,51.48,75.05,22.96,56.83,79.79,23.3,58.06,81.36,22.97,54.62,77.59,24.45,55.31,79.76,23.6,55.48,79.08,21.04,53.96,75,19.87,51.54,71.41,19.21,49.24,68.45,18.68,48.8,67.48,19.56,49.11,68.67,18.78,49.37,68.15,18.52,51.14,69.66,18.64,46.98,65.62,18.18,46.38,64.56
Hungary,,,,,,,,,,,,,,,,5.31,21.09,26.4,5.31,22.64,27.95,5.7,23.5,29.2,6.14,23.99,30.13,6.23,27.88,34.11,6.32,27.34,33.66,6.68,30.22,36.9,7.22,30.01,37.23,7.21,32.23,39.44,7.57,32.68,40.25,7.23,36.12,43.35,7.57,37.58,45.15,6.99,39.15,46.14,7.63,40.03,47.66,7.01,40.86,47.87,7.63,40.14,47.77,7.85,43.08,50.93,7.69,42.35,50.04,8.68,43.44,52.12,8.67,47.65,56.32,8.03,47.25,55.28,8.96,49.03,57.99,8.47,50.51,58.98,9.61,54.69,64.3,9.29,56.45,65.74,10.26,57.1,67.36,9.89,60.91,70.8,10.94,63.43,74.37,11.41,64.69,76.1,11.34,67.33,78.67,11.62,67.25,78.87,12.43,73.45,85.88,13.69,75.63,89.32,13.84,73.66,87.5,14.6,74.87,89.47,15.57,78.95,94.52,15.92,80.22,96.14,16.82,83.14,99.96,18.05,83.6,101.65,17.42,84.53,101.95,18.77,82.91,101.68,20.31,84.75,105.06,19.72,84.08,103.8,20.08,84.93,105.01,20.91,82.96,103.87,21.38,81.35,102.73,21.67,80.22,101.89,22.69,78.66,101.35
Iceland,,,,1.01,6.18,7.19,3.74,,3.74,2.43,8.49,10.92,7.42,6.81,14.23,,9.75,9.75,3.09,9.52,12.61,6.75,8.63,15.38,2.1,7.08,9.18,6.56,12.9,19.46,13.42,9.58,23,3,9.1,12.1,2.55,13.35,15.9,2.88,11.06,13.94,10.39,14.52,24.91,5.67,10.65,16.32,8.89,11.54,20.43,8.84,21.18,30.02,7.3,16.08,23.38,10.84,11.73,22.57,5.17,17.18,22.35,11.23,10,21.23,12.05,19.06,31.11,9.12,14.06,23.18,9.68,14.17,23.85,11.8,19.49,31.29,9.52,16.02,25.54,14.12,23.55,37.67,11.32,20.85,32.17,16.67,25.69,42.36,21,15.29,36.29,22.65,33.64,56.29,26,29.96,55.96,20.16,27.48,47.64,17.32,20.53,37.85,17.7,32.01,49.71,20.84,24.41,45.25,20.59,27.62,48.21,28.32,30.6,58.92,23.52,26.57,50.09,21.87,30.4,52.27,22.31,35.35,57.66,29.95,27.38,57.33,23.79,29.74,53.53,27.69,22.99,50.68,21.38,29.19,50.57,25.84,34.24,60.08,26.57,36.04,62.61,23.88,29.35,53.23,25.15,32.93,58.08,26.19,26.27,52.46,23.77,30.45,54.22,22.95,25.06,48.01
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,7.9,9.6
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,18.6,24.9
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,6.7,8.8
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,21.1,27.3
Ireland,3.12,10.21,13.33,4.18,12.5,16.68,4.67,14.46,19.13,4.7,16.65,21.35,5.88,18.09,23.97,5.53,19.13,24.66,4.74,21.95,26.69,7.06,22.1,29.16,5.48,21.66,27.14,5.12,24.6,29.72,5.93,26.37,32.3,5.87,27.89,33.76,7.74,28.51,36.25,6.31,27.59,33.9,6.74,28.62,35.36,7.76,31.39,39.15,7.56,34.38,41.94,8.83,34.41,43.24,9.73,38.36,48.09,8.97,36.31,45.28,10.13,40.38,50.51,11.44,40.23,51.67,11.99,39.57,51.56,11.06,43.06,54.12,14.31,43.54,57.85,13.87,44.72,58.59,13.46,48.34,61.8,13.26,46.37,59.63,14.17,46.35,60.52,15.56,46.66,62.22,15,44.93,59.93,16.22,49.81,66.03,16.54,45.72,62.26,18.44,50.21,68.65,18.82,51.93,70.75,17.53,52.44,69.97,17.75,51.92,69.67,16.45,46.78,63.23,19.31,49.55,68.86,20.01,47.2,67.21,18.52,46.57,65.09,16.87,44.86,61.73,17.94,45.97,63.91,17.48,47.26,64.74,18.63,45.31,63.94,18.5,43.36,61.86,16.63,40.01,56.64,16.07,37.09,53.16,18.47,39.79,58.26,16.83,36.67,53.5,18.85,38.06,56.91,16.42,35.93,52.35,16.81,35.14,51.95
