,1950,,,1951,,,1952,,,1953,,,1954,,,1955,,,1956,,,1957,,,1958,,,1959,,,1960,,,1961,,,1962,,,1963,,,1964,,,1965,,,1966,,,1967,,,1968,,,1969,,,1970,,,1971,,,1972,,,1973,,,1974,,,1975,,,1976,,,1977,,,1978,,,1979,,,1980,,,1981,,,1982,,,1983,,,1984,,,1985,,,1986,,,1987,,,1988,,,1989,,,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,
Country,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,19.7,24.5
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,28.6,41
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,20.8,24.1
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14.4,17.4
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,37.21,41,3.76,40.02,43.78,,,,,,,4.29,47.85,52.14,4.29,48.38,52.67,5.02,51.12,56.14,4.45,52.3,56.75,4.57,56.72,61.29,4.53,56.16,60.69,5.06,56.72,61.78,5.1,60.33,65.43,4.87,61.28,66.15,4.32,60.51,64.83,4.32,61.17,65.49,,,,4.55,60.24,64.79,4.19,58.64,62.83,3.64,57.4,61.04,3.8,56.05,59.85,3.72,55.51,59.23,3.67,55.31,58.98
Belgium,,,,,,,,,,,,,,26.63,26.63,,27.37,27.37,,30.3,30.3,,31.1,31.1,,32.37,32.37,,34.04,34.04,,37.91,37.91,,40.16,40.16,,42.12,42.12,,44.66,44.66,,46.06,46.06,,50.44,50.44,,50.56,50.56,,52.84,52.84,,54.48,54.48,,55.24,55.24,,58.76,58.76,,64.25,64.25,,66.43,66.43,,67.26,67.26,,66.83,66.83,,68.67,68.67,,70.74,70.74,,75.93,75.93,,76.88,76.88,,76,76,,77.9,77.9,,79.58,79.58,,78.13,78.13,,81.77,81.77,,80.69,80.69,,82.03,82.03,,79.52,79.52,,77.7,77.7,,77.94,77.94,,73.13,73.13,,72.59,72.59,,71.15,71.15,,71.97,71.97,,71.8,71.8,,69.24,69.24,,70.44,70.44,,65.93,65.93,,66.95,66.95,,,,,,,,,,,,,10.1,69.9,80
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15,10.14,18.29,8.11,5.77,13.88,8.89,8.89,17.78,,,,,8.28,8.28,2.25,11.63,13.88,,8.82,8.82,2.22,,2.22,5.05,13.86,18.91,6.91,5.5,12.41,,,,2.67,2.59,5.26,,5.5,5.5,2.38,7.82,10.2,,18.11,18.11,,1.85,1.85,2.6,,2.6,,,,3.92,7.87,11.79,2.31,3.84,6.15,4.44,15.89,20.33,,,,4.45,7.49,11.94,2.11,12.74,14.85,,,,1.24,8.86,10.1,3.12,9.08,12.2,,3.53,3.53,,,,3.95,14.25,18.2,5.16,10.24,15.4,,16.63,16.63,4.14,13.97,18.11,5.03,17.17,22.2,1.89,18.97,20.86,1.68,19.7,21.38,7.61,11.32,18.93,4.37,17.12,21.49,3.3,19.6,22.9
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,2.4,3
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,11,13.2
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,11.6,14.7
