Country,Year,Breast,Cervix,Leukaemia,Ovary,Prostate
Malaysia,1999,64.8,54.6,16,44.7,62.4
Malaysia,2004,71.1,58.4,25.2,42.5,57.8
Malaysia,2009,67.8,55.2,12.1,42.9,66.4
Malta,1999,71.3,58.8,38.6,34.2,68.6
Malta,2004,76.3,52.8,24.2,37.9,82.7
Malta,2009,76.3,63.1,19,33.1,84.8
Mauritius,2009,87.4,86.7,57.2,82.7,77.3
Mongolia,2009,56.5,59.5,35.6,52.1,39.6
Netherlands,1999,80,63.9,46.9,38.7,77.4
Netherlands,2004,83.5,65.7,48.4,37.3,82.7
Netherlands,2009,85,66.5,51.8,38.1,85.8
New Zealand,1999,79.5,64.3,47.7,35.8,80.8
New Zealand,2004,82.3,67.6,60.2,38.7,88.5
New Zealand,2009,83.7,63.9,58,33.8,88.7
Norway,1999,81.5,66.7,44.6,36.7,73.8
Norway,2004,84.1,70.6,48.9,40.2,82.4
Norway,2009,85.9,71.4,53.6,40.3,86.3
Poland,1999,66.9,50,44.1,30.6,54.3
Poland,2004,72.3,51.7,44.5,32.8,68.5
Poland,2009,74.1,53,49,34.3,74.1
Portugal,1999,74.9,54,40,33.9,81.3
Portugal,2004,81.4,60.3,41.2,39.4,87.2
Portugal,2009,83.4,61.5,43.6,40.6,89.4
Puerto Rico,2004,82.6,60.9,34.1,34.5,97.5
Puerto Rico,2009,83,59.3,30.2,34.8,97.7
Qatar,2009,85.3,85.5,52.8,37.2,55.3
Romania,2009,75,69.1,41.2,40.5,79.5
Russia,2004,62.4,56.6,34.1,37.2,63.9
Russia,2009,70.6,54.9,42,40.4,69.6
Saudi Arabia,1999,70.9,62.2,61.4,49.4,64.8
Saudi Arabia,2004,78.4,65.6,50.9,53,65.3
Slovakia,2004,74,62.6,41.1,34.8,62.6
Slovakia,2009,72.1,58.8,37.2,33.9,66
Slovenia,1999,71.3,62.9,44.3,33.4,61.1
Slovenia,2004,78.3,67.3,39.9,37.8,72.7
Slovenia,2009,80.2,68.9,37.9,37.5,78.1
South Africa,1999,71.5,37,,,
South Africa,2004,37.9,63,,,
South Africa,2009,53.4,54.9,,90.9,100
South Korea,1999,76.7,73.7,15.4,42.1,63.7
South Korea,2004,79.6,70,18.8,43.3,75.8
South Korea,2009,82.7,77.1,23.4,44.2,82.2
Spain,1999,77.8,61.7,48.5,35.3,73.7
Spain,2004,82.2,63.4,50.7,38.1,84.6
Spain,2009,83.7,65.2,52,38.4,87.1
Sweden,1999,83.8,65,48.5,40.8,75.4
Sweden,2004,85.6,66.6,55,42.8,86.1
Sweden,2009,86.2,67.8,59.2,43.5,89.2
Switzerland,1999,78.7,63.5,51.7,35,76
Switzerland,2004,84,63.8,56,35.7,85.9
Switzerland,2009,85.5,65.4,58.1,37.7,88
Taiwan,1999,77.2,75.4,24.3,44.2,69.7
Taiwan,2004,80.7,74.5,22.3,44.3,76
Taiwan,2009,82.4,74,22.9,45.6,77.9
Thailand,1999,65.9,55,9.7,55.7,51.3
Thailand,2004,72.9,57.7,28.7,47.3,64.7
Thailand,2009,71.3,55.9,21.1,41.1,57.7
Tunisia,1999,85.6,,,,
Tunisia,2004,76.7,,,,
Tunisia,2009,68.4,42.4,26.5,47.8,100
Turkey,1999,72.8,59.2,31.5,40.7,77.4
Turkey,2004,81.5,63.4,36.4,46,80.2
Turkey,2009,78.6,60.9,33.1,39,80.6
United Kingdom,1999,74.2,58,42,32.6,68.4
United Kingdom,2004,78.7,59.1,44.5,34.7,80.5
United Kingdom,2009,81.1,60.2,47,36.9,83.2
United States,1999,86,64.2,44.5,38.9,93.2
United States,2004,87.9,63.6,48.8,39.6,96.4
United States,2009,88.6,62.8,51.8,40.9,97.2
Uruguay,2004,,,,,
Uruguay,2009,,,,,
